algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,age-accuracy,0-accuracy_over_1-accuracy,age-accuracyRatio,diff:1-accuracyto0-accuracy,age-accuracyDiff,0-accuracy,1-accuracy,sex-age-accuracy,0-accuracy_over_1-1-accuracy,1-accuracy_over_1-1-accuracy,sex-age-accuracyRatio,diff:1-1-accuracyto0-accuracy,diff:1-1-accuracyto1-accuracy,sex-age-accuracyDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,age-TPR,0-TPR_over_1-TPR,age-TPRRatio,diff:1-TPRto0-TPR,age-TPRDiff,0-TPR,1-TPR,sex-age-TPR,0-TPR_over_1-1-TPR,1-TPR_over_1-1-TPR,sex-age-TPRRatio,diff:1-1-TPRto0-TPR,diff:1-1-TPRto1-TPR,sex-age-TPRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,age-TNR,0-TNR_over_1-TNR,age-TNRRatio,diff:1-TNRto0-TNR,age-TNRDiff,0-TNR,1-TNR,sex-age-TNR,0-TNR_over_1-1-TNR,1-TNR_over_1-1-TNR,sex-age-TNRRatio,diff:1-1-TNRto0-TNR,diff:1-1-TNRto1-TNR,sex-age-TNRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,age-FPR,0-FPR_over_1-FPR,age-FPRRatio,diff:1-FPRto0-FPR,age-FPRDiff,0-FPR,1-FPR,sex-age-FPR,0-FPR_over_1-1-FPR,1-FPR_over_1-1-FPR,sex-age-FPRRatio,diff:1-1-FPRto0-FPR,diff:1-1-FPRto1-FPR,sex-age-FPRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,age-FNR,0-FNR_over_1-FNR,age-FNRRatio,diff:1-FNRto0-FNR,age-FNRDiff,0-FNR,1-FNR,sex-age-FNR,0-FNR_over_1-1-FNR,1-FNR_over_1-1-FNR,sex-age-FNRRatio,diff:1-1-FNRto0-FNR,diff:1-1-FNRto1-FNR,sex-age-FNRDiff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,age-calibration+,0-calibration+_over_1-calibration+,age-calibration+Ratio,diff:1-calibration+to0-calibration+,age-calibration+Diff,0-calibration+,1-calibration+,sex-age-calibration+,0-calibration+_over_1-1-calibration+,1-calibration+_over_1-1-calibration+,sex-age-calibration+Ratio,diff:1-1-calibration+to0-calibration+,diff:1-1-calibration+to1-calibration+,sex-age-calibration+Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,age-calibration-,0-calibration-_over_1-calibration-,age-calibration-Ratio,diff:1-calibration-to0-calibration-,age-calibration-Diff,0-calibration-,1-calibration-,sex-age-calibration-,0-calibration-_over_1-1-calibration-,1-calibration-_over_1-1-calibration-,sex-age-calibration-Ratio,diff:1-1-calibration-to0-calibration-,diff:1-1-calibration-to1-calibration-,sex-age-calibration-Diff
SVM,,0,0.6896551724137931,0.9645390070921985,0.06451612903225806,0.5145275680622283,0.06501389654786709,0.9491898148148149,0.9491898148148149,0.9506519784172662,0.625,0.7194244604316546,0.6722122302158273,0.86875,0.86875,0.9055755395683454,0.9055755395683454,0.5483870967741935,0.7151162790697675,0.6317516879219804,0.7668502491476527,0.7668502491476527,0.833270817704426,0.833270817704426,0.6233766233766234,0.7301587301587301,0.6767676767676767,None,None,1.0,None,None,1.0,0.926829268292683,0.98,0.9534146341463414,0.9457441513190643,0.9457441513190643,0.946829268292683,0.946829268292683,0.9444444444444444,0.967479674796748,0.9559620596205962,0.9761904761904762,0.9761904761904762,0.9769647696476964,0.9769647696476964,0.9387755102040817,0.9782608695652174,0.9585181898846495,None,None,1.0,None,None,1.0,0.08695652173913043,0.05128205128205128,0.06911928651059085,1.6956521739130435,1.6956521739130435,1.035674470457079,1.035674470457079,0.0,0.08163265306122448,0.04081632653061224,0.0,1.0,0.9183673469387755,0.9183673469387755,0.07142857142857142,0.058823529411764705,0.06512605042016806,None,None,1.0,None,None,1.0,0.9130434782608696,0.9487179487179487,0.9308807134894092,0.9623971797884843,0.9623971797884843,0.964325529542921,0.964325529542921,1.0,0.9183673469387755,0.9591836734693877,1.0888888888888888,1.0888888888888888,1.0816326530612246,1.0816326530612246,0.9285714285714286,0.9411764705882353,0.9348739495798319,None,None,1.0,None,None,1.0,0.07317073170731703,0.020000000000000018,0.04658536585365852,3.658536585365848,3.658536585365848,1.0531707317073171,1.0531707317073171,0.05555555555555558,0.03252032520325199,0.044037940379403784,1.7083333333333364,1.7083333333333364,1.0230352303523036,1.0230352303523036,0.061224489795918324,0.021739130434782594,0.04148181011535046,None,None,1.0,None,None,1.0,0.6440677966101694,0.725925925925926,0.6849968612680477,0.8872362504323762,0.8872362504323762,0.9181418706842435,0.9181418706842435,0.5666666666666667,0.725609756097561,0.6461382113821138,0.780952380952381,0.780952380952381,0.8410569105691057,0.8410569105691057,0.6388888888888888,0.7377049180327869,0.6882969034608379,None,None,1.0,None,None,1.0,0.6,0.5,0.55,1.2,1.2,1.1,1.1,1.0,0.5,0.75,2.0,2.0,1.5,1.5,0.6,0.5,0.55,None,None,1.0,None,None,1.0
SVM,,1,0.6847290640394089,0.9645390070921985,0.04838709677419355,0.5064630519331961,0.030599247276881465,0.9422104779411764,0.9422104779411764,0.9434577338129496,0.625,0.7122302158273381,0.6686151079136691,0.8775252525252525,0.8775252525252525,0.9127697841726619,0.9127697841726619,0.6129032258064516,0.6976744186046512,0.6552888222055514,0.878494623655914,0.878494623655914,0.9152288072018004,0.9152288072018004,0.6363636363636364,0.7142857142857143,0.6753246753246753,None,None,1.0,None,None,1.0,0.926829268292683,0.98,0.9534146341463414,0.9457441513190643,0.9457441513190643,0.946829268292683,0.946829268292683,1.0,0.959349593495935,0.9796747967479675,1.0423728813559323,1.0423728813559323,1.040650406504065,1.040650406504065,0.9387755102040817,0.9782608695652174,0.9585181898846495,None,None,1.0,None,None,1.0,0.08695652173913043,0.02564102564102564,0.05629877369007803,3.391304347826087,3.391304347826087,1.0613154960981048,1.0613154960981048,0.07692307692307693,0.04081632653061224,0.05886970172684458,1.8846153846153848,1.8846153846153848,1.0361067503924646,1.0361067503924646,0.10714285714285714,0.0,0.05357142857142857,None,None,1.0,None,None,1.0,0.9130434782608696,0.9743589743589743,0.943701226309922,0.937070938215103,0.937070938215103,0.9386845039018953,0.9386845039018953,0.9230769230769231,0.9591836734693877,0.9411302982731554,0.9623567921440263,0.9623567921440263,0.9638932496075354,0.9638932496075354,0.8928571428571429,1.0,0.9464285714285714,None,None,1.0,None,None,1.0,0.07317073170731703,0.020000000000000018,0.04658536585365852,3.658536585365848,3.658536585365848,1.0531707317073171,1.0531707317073171,0.0,0.04065040650406504,0.02032520325203252,0.0,1.0,0.959349593495935,0.959349593495935,0.061224489795918324,0.021739130434782594,0.04148181011535046,None,None,1.0,None,None,1.0,0.6440677966101694,0.7205882352941176,0.6823280159521435,0.8938083708059494,0.8938083708059494,0.9234795613160518,0.9234795613160518,0.6,0.7151515151515152,0.6575757575757576,0.8389830508474575,0.8389830508474575,0.8848484848484848,0.8848484848484848,0.647887323943662,0.7258064516129032,0.6868468877782826,None,None,1.0,None,None,1.0,0.6,0.6666666666666666,0.6333333333333333,0.9,0.9,0.9333333333333333,0.9333333333333333,0.0,0.7142857142857143,0.35714285714285715,0.0,1.0,0.2857142857142857,0.2857142857142857,0.5,1.0,0.75,None,None,1.0,None,None,1.0
SVM,,2,0.6995073891625616,0.9929078014184397,0.03225806451612903,0.5125829329672844,0.09605979479474511,0.9757699275362318,0.9757699275362318,0.9759442446043165,0.640625,0.7266187050359713,0.6836218525179856,0.8816522277227722,0.8816522277227722,0.9140062949640287,0.9140062949640287,0.5806451612903226,0.7209302325581395,0.650787696924231,0.8054110301768992,0.8054110301768992,0.8597149287321831,0.8597149287321831,0.6363636363636364,0.7380952380952381,0.6872294372294372,None,None,1.0,None,None,1.0,0.975609756097561,1.0,0.9878048780487805,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,1.0,0.991869918699187,0.9959349593495934,1.0081967213114755,1.0081967213114755,1.0081300813008132,1.0081300813008132,0.9795918367346939,1.0,0.9897959183673469,None,None,1.0,None,None,1.0,0.043478260869565216,0.02564102564102564,0.034559643255295425,1.6956521739130435,1.6956521739130435,1.0178372352285396,1.0178372352285396,0.0,0.04081632653061224,0.02040816326530612,0.0,1.0,0.9591836734693877,0.9591836734693877,0.03571428571428571,0.029411764705882353,0.03256302521008403,None,None,1.0,None,None,1.0,0.9565217391304348,0.9743589743589743,0.9654403567447045,0.9816933638443937,0.9816933638443937,0.9821627647714605,0.9821627647714605,1.0,0.9591836734693877,0.9795918367346939,1.0425531914893618,1.0425531914893618,1.0408163265306123,1.0408163265306123,0.9642857142857143,0.9705882352941176,0.967436974789916,None,None,1.0,None,None,1.0,0.024390243902439046,0.0,0.012195121951219523,0.0,1.0,1.024390243902439,1.024390243902439,0.0,0.008130081300813052,0.004065040650406526,0.0,1.0,0.991869918699187,0.991869918699187,0.020408163265306145,0.0,0.010204081632653073,None,None,1.0,None,None,1.0,0.6451612903225806,0.7246376811594203,0.6848994857410005,0.8903225806451612,0.8903225806451612,0.9205236091631603,0.9205236091631603,0.5806451612903226,0.7218934911242604,0.6512693262072915,0.8043363299841354,0.8043363299841354,0.8587516701660622,0.8587516701660622,0.64,0.736,0.688,None,None,1.0,None,None,1.0,0.5,0.0,0.25,0.0,1.0,1.5,1.5,1.0,0.3333333333333333,0.6666666666666666,3.0,3.0,1.6666666666666667,1.6666666666666667,0.5,0.0,0.25,None,None,1.0,None,None,1.0
SVM,,3,0.6798029556650246,0.950354609929078,0.06451612903225806,0.507435369480668,0.030254570661564062,1.0606831395348837,1.0606831395348837,1.0563174460431655,0.625,0.7050359712230215,0.6650179856115108,0.8864795918367347,0.8864795918367347,0.9199640287769785,0.9199640287769785,0.6129032258064516,0.6918604651162791,0.6523818454613654,0.8858769314177284,0.8858769314177284,0.9210427606901725,0.9210427606901725,0.6363636363636364,0.7063492063492064,0.6713564213564214,None,None,1.0,None,None,1.0,0.975609756097561,0.94,0.9578048780487805,1.0378827192527245,1.0378827192527245,1.035609756097561,1.035609756097561,1.0,0.943089430894309,0.9715447154471545,1.0603448275862069,1.0603448275862069,1.056910569105691,1.056910569105691,0.9795918367346939,0.9347826086956522,0.957187222715173,None,None,1.0,None,None,1.0,0.0,0.10256410256410256,0.05128205128205128,0.0,1.0,0.8974358974358975,0.8974358974358975,0.07692307692307693,0.061224489795918366,0.06907378335949765,1.2564102564102566,1.2564102564102566,1.0156985871271587,1.0156985871271587,0.03571428571428571,0.08823529411764706,0.06197478991596639,None,None,1.0,None,None,1.0,1.0,0.8974358974358975,0.9487179487179487,1.1142857142857143,1.1142857142857143,1.1025641025641026,1.1025641025641026,0.9230769230769231,0.9387755102040817,0.9309262166405023,0.9832775919732442,0.9832775919732442,0.9843014128728415,0.9843014128728415,0.9642857142857143,0.9117647058823529,0.9380252100840336,None,None,1.0,None,None,1.0,0.024390243902439046,0.06000000000000005,0.04219512195121955,0.4065040650406504,0.4065040650406504,0.964390243902439,0.964390243902439,0.0,0.05691056910569103,0.028455284552845517,0.0,1.0,0.943089430894309,0.943089430894309,0.020408163265306145,0.06521739130434778,0.042812777284826964,None,None,1.0,None,None,1.0,0.6349206349206349,0.7286821705426356,0.6818014027316353,0.8713272543059777,0.8713272543059777,0.9062384643779993,0.9062384643779993,0.6,0.7160493827160493,0.6580246913580247,0.8379310344827586,0.8379310344827586,0.8839506172839506,0.8839506172839506,0.64,0.7350427350427351,0.6875213675213676,None,None,1.0,None,None,1.0,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.0,0.7,0.35,0.0,1.0,0.30000000000000004,0.30000000000000004,0.5,0.6666666666666666,0.5833333333333333,None,None,1.0,None,None,1.0
SVM,,4,0.6650246305418719,0.950354609929078,0.016129032258064516,0.4832418210935713,-0.07934141108076344,1.0365767045454546,1.0365767045454546,1.034734712230216,0.625,0.6834532374100719,0.654226618705036,0.9144736842105263,0.9144736842105263,0.9415467625899281,0.9415467625899281,0.6129032258064516,0.6744186046511628,0.6436609152288072,0.9087875417130145,0.9087875417130145,0.9384846211552889,0.9384846211552889,0.6363636363636364,0.6825396825396826,0.6594516594516595,None,None,1.0,None,None,1.0,0.975609756097561,0.94,0.9578048780487805,1.0378827192527245,1.0378827192527245,1.035609756097561,1.035609756097561,1.0,0.943089430894309,0.9715447154471545,1.0603448275862069,1.0603448275862069,1.056910569105691,1.056910569105691,0.9795918367346939,0.9347826086956522,0.957187222715173,None,None,1.0,None,None,1.0,0.0,0.02564102564102564,0.01282051282051282,0.0,1.0,0.9743589743589743,0.9743589743589743,0.07692307692307693,0.0,0.038461538461538464,0.0,1.0,1.0769230769230769,1.0769230769230769,0.03571428571428571,0.0,0.017857142857142856,None,None,1.0,None,None,1.0,1.0,0.9743589743589743,0.9871794871794872,1.0263157894736843,1.0263157894736843,1.0256410256410255,1.0256410256410255,0.9230769230769231,1.0,0.9615384615384616,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9642857142857143,1.0,0.9821428571428572,None,None,1.0,None,None,1.0,0.024390243902439046,0.06000000000000005,0.04219512195121955,0.4065040650406504,0.4065040650406504,0.964390243902439,0.964390243902439,0.0,0.05691056910569103,0.028455284552845517,0.0,1.0,0.943089430894309,0.943089430894309,0.020408163265306145,0.06521739130434778,0.042812777284826964,None,None,1.0,None,None,1.0,0.6349206349206349,0.7121212121212122,0.6735209235209235,0.8915906788247213,0.8915906788247213,0.9227994227994227,0.9227994227994227,0.6,0.703030303030303,0.6515151515151515,0.853448275862069,0.853448275862069,0.896969696969697,0.896969696969697,0.64,0.7166666666666667,0.6783333333333333,None,None,1.0,None,None,1.0,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.5,1.0,0.75,None,None,1.0,None,None,1.0
SVM,,5,0.6798029556650246,0.9787234042553191,0.0,0.48936170212765956,-0.08121419014464813,0.9987454379562044,0.9987454379562044,0.9987634892086331,0.625,0.7050359712230215,0.6650179856115108,0.8864795918367347,0.8864795918367347,0.9199640287769785,0.9199640287769785,0.5806451612903226,0.6976744186046512,0.6391597899474869,0.832258064516129,0.832258064516129,0.8829707426856714,0.8829707426856714,0.6233766233766234,0.7142857142857143,0.6688311688311688,None,None,1.0,None,None,1.0,0.975609756097561,0.98,0.9778048780487805,0.9955201592832255,0.9955201592832255,0.995609756097561,0.995609756097561,1.0,0.975609756097561,0.9878048780487805,1.0250000000000001,1.0250000000000001,1.024390243902439,1.024390243902439,0.9795918367346939,0.9782608695652174,0.9789263531499557,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.024390243902439046,0.020000000000000018,0.022195121951219532,1.2195121951219512,1.2195121951219512,1.004390243902439,1.004390243902439,0.0,0.024390243902439046,0.012195121951219523,0.0,1.0,0.975609756097561,0.975609756097561,0.020408163265306145,0.021739130434782594,0.02107364685004437,None,None,1.0,None,None,1.0,0.6349206349206349,0.7153284671532847,0.6751245510369598,0.8875931324910916,0.8875931324910916,0.9195921677673502,0.9195921677673502,0.5806451612903226,0.7100591715976331,0.6453521664439779,0.8177419354838711,0.8177419354838711,0.8705859896926895,0.8705859896926895,0.631578947368421,0.7258064516129032,0.6786926994906621,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
SVM,,6,0.6847290640394089,0.9645390070921985,0.04838709677419355,0.5064630519331961,0.030599247276881465,0.9194799270072993,0.9194799270072993,0.9206384892086331,0.640625,0.7050359712230215,0.6728304856115108,0.9086415816326532,0.9086415816326532,0.9355890287769785,0.9355890287769785,0.5806451612903226,0.7034883720930233,0.642066766691673,0.8253798986936817,0.8253798986936817,0.8771567891972993,0.8771567891972993,0.6363636363636364,0.7142857142857143,0.6753246753246753,None,None,1.0,None,None,1.0,0.926829268292683,0.98,0.9534146341463414,0.9457441513190643,0.9457441513190643,0.946829268292683,0.946829268292683,1.0,0.959349593495935,0.9796747967479675,1.0423728813559323,1.0423728813559323,1.040650406504065,1.040650406504065,0.9387755102040817,0.9782608695652174,0.9585181898846495,None,None,1.0,None,None,1.0,0.13043478260869565,0.0,0.06521739130434782,0.0,1.0,1.1304347826086956,1.1304347826086956,0.0,0.061224489795918366,0.030612244897959183,0.0,1.0,0.9387755102040817,0.9387755102040817,0.10714285714285714,0.0,0.05357142857142857,None,None,1.0,None,None,1.0,0.8695652173913043,1.0,0.9347826086956521,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,1.0,0.9387755102040817,0.9693877551020409,1.0652173913043477,1.0652173913043477,1.0612244897959182,1.0612244897959182,0.8928571428571429,1.0,0.9464285714285714,None,None,1.0,None,None,1.0,0.07317073170731703,0.020000000000000018,0.04658536585365852,3.658536585365848,3.658536585365848,1.0531707317073171,1.0531707317073171,0.0,0.04065040650406504,0.02032520325203252,0.0,1.0,0.959349593495935,0.959349593495935,0.061224489795918324,0.021739130434782594,0.04148181011535046,None,None,1.0,None,None,1.0,0.6551724137931034,0.7153284671532847,0.6852504404731941,0.9159042927515834,0.9159042927515834,0.9398439466398187,0.9398439466398187,0.5806451612903226,0.7195121951219512,0.650078678206137,0.8069983597594315,0.8069983597594315,0.8611329661683714,0.8611329661683714,0.647887323943662,0.7258064516129032,0.6868468877782826,None,None,1.0,None,None,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,1.0,0.625,0.8125,1.6,1.6,1.375,1.375,0.5,1.0,0.75,None,None,1.0,None,None,1.0
SVM,,7,0.6798029556650246,0.9574468085106383,0.04838709677419355,0.502916952642416,0.013053971354099296,0.9262408088235294,0.9262408088235294,0.9278327338129496,0.609375,0.7122302158273381,0.6608026079136691,0.8555871212121212,0.8555871212121212,0.8971447841726619,0.8971447841726619,0.6129032258064516,0.6918604651162791,0.6523818454613654,0.8858769314177284,0.8858769314177284,0.9210427606901725,0.9210427606901725,0.6103896103896104,0.7222222222222222,0.6663059163059163,None,None,1.0,None,None,1.0,0.9024390243902439,0.98,0.9412195121951219,0.9208561473369836,0.9208561473369836,0.922439024390244,0.922439024390244,1.0,0.9512195121951219,0.975609756097561,1.0512820512820513,1.0512820512820513,1.048780487804878,1.048780487804878,0.9183673469387755,0.9782608695652174,0.9483141082519965,None,None,1.0,None,None,1.0,0.08695652173913043,0.02564102564102564,0.05629877369007803,3.391304347826087,3.391304347826087,1.0613154960981048,1.0613154960981048,0.07692307692307693,0.04081632653061224,0.05886970172684458,1.8846153846153848,1.8846153846153848,1.0361067503924646,1.0361067503924646,0.07142857142857142,0.029411764705882353,0.05042016806722689,None,None,1.0,None,None,1.0,0.9130434782608696,0.9743589743589743,0.943701226309922,0.937070938215103,0.937070938215103,0.9386845039018953,0.9386845039018953,0.9230769230769231,0.9591836734693877,0.9411302982731554,0.9623567921440263,0.9623567921440263,0.9638932496075354,0.9638932496075354,0.9285714285714286,0.9705882352941176,0.9495798319327731,None,None,1.0,None,None,1.0,0.09756097560975607,0.020000000000000018,0.058780487804878045,4.878048780487799,4.878048780487799,1.0775609756097562,1.0775609756097562,0.0,0.04878048780487809,0.024390243902439046,0.0,1.0,0.9512195121951219,0.9512195121951219,0.08163265306122447,0.021739130434782594,0.05168589174800353,None,None,1.0,None,None,1.0,0.6379310344827587,0.7205882352941176,0.6792596348884381,0.8852920478536243,0.8852920478536243,0.917342799188641,0.917342799188641,0.6,0.7134146341463414,0.6567073170731708,0.841025641025641,0.841025641025641,0.8865853658536585,0.8865853658536585,0.6338028169014085,0.7317073170731707,0.6827550669872896,None,None,1.0,None,None,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.75,0.375,0.0,1.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,None,None,1.0,None,None,1.0
SVM,,8,0.6945812807881774,0.9858156028368794,0.03225806451612903,0.5090368336765042,0.05989563202687375,0.9375,0.9375,0.9375,0.640625,0.7194244604316546,0.6800247302158273,0.89046875,0.89046875,0.9212005395683454,0.9212005395683454,0.5483870967741935,0.7209302325581395,0.6346586646661665,0.7606659729448491,0.7606659729448491,0.827456864216054,0.827456864216054,0.6363636363636364,0.7301587301587301,0.6832611832611832,None,None,1.0,None,None,1.0,0.9512195121951219,1.0,0.975609756097561,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9444444444444444,0.991869918699187,0.9681571815718157,0.9521857923497268,0.9521857923497268,0.9525745257452575,0.9525745257452575,0.9591836734693877,1.0,0.9795918367346939,None,None,1.0,None,None,1.0,0.08695652173913043,0.0,0.043478260869565216,0.0,1.0,1.0869565217391304,1.0869565217391304,0.0,0.04081632653061224,0.02040816326530612,0.0,1.0,0.9591836734693877,0.9591836734693877,0.07142857142857142,0.0,0.03571428571428571,None,None,1.0,None,None,1.0,0.9130434782608696,1.0,0.9565217391304348,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9130434782608696,1.0,0.9591836734693877,0.9795918367346939,1.0425531914893618,1.0425531914893618,1.0408163265306123,1.0408163265306123,0.9285714285714286,1.0,0.9642857142857143,None,None,1.0,None,None,1.0,0.04878048780487809,0.0,0.024390243902439046,0.0,1.0,1.048780487804878,1.048780487804878,0.05555555555555558,0.008130081300813052,0.031842818428184316,6.833333333333299,6.833333333333299,1.0474254742547426,1.0474254742547426,0.04081632653061229,0.0,0.020408163265306145,None,None,1.0,None,None,1.0,0.65,0.7194244604316546,0.6847122302158273,0.9035000000000001,0.9035000000000001,0.9305755395683454,0.9305755395683454,0.5666666666666667,0.7218934911242604,0.6442800788954635,0.7849726775956284,0.7849726775956284,0.8447731755424063,0.8447731755424063,0.6438356164383562,0.7301587301587301,0.6869971732985432,None,None,1.0,None,None,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,3.0,3.0,1.6666666666666667,1.6666666666666667,0.5,1.0,0.75,None,None,1.0,None,None,1.0
SVM,,9,0.7044334975369458,1.0,0.03225806451612903,0.5161290322580645,0.1504286924966104,0.991508152173913,0.991508152173913,0.9915692446043165,0.65625,0.7266187050359713,0.6914343525179856,0.9031559405940593,0.9031559405940593,0.9296312949640287,0.9296312949640287,0.5806451612903226,0.7267441860465116,0.653694673668417,0.7989677419354839,0.7989677419354839,0.853900975243811,0.853900975243811,0.6493506493506493,0.7380952380952381,0.6937229437229437,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.043478260869565216,0.02564102564102564,0.034559643255295425,1.6956521739130435,1.6956521739130435,1.0178372352285396,1.0178372352285396,0.0,0.04081632653061224,0.02040816326530612,0.0,1.0,0.9591836734693877,0.9591836734693877,0.03571428571428571,0.029411764705882353,0.03256302521008403,None,None,1.0,None,None,1.0,0.9565217391304348,0.9743589743589743,0.9654403567447045,0.9816933638443937,0.9816933638443937,0.9821627647714605,0.9821627647714605,1.0,0.9591836734693877,0.9795918367346939,1.0425531914893618,1.0425531914893618,1.0408163265306123,1.0408163265306123,0.9642857142857143,0.9705882352941176,0.967436974789916,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.6507936507936508,0.7246376811594203,0.6877156659765356,0.8980952380952382,0.8980952380952382,0.9261559696342305,0.9261559696342305,0.5806451612903226,0.7235294117647059,0.6520872865275142,0.8025177025963809,0.8025177025963809,0.8571157495256168,0.8571157495256168,0.6447368421052632,0.736,0.6903684210526315,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0
